Rank	Name	VP (linear)	"VP % (linear) (i)"	VP (log)	"VP % (log) (ii)"	"VP % (effective)  (iii) = (i)*(1 - G^3) + (ii)*G^3"	"% Change
(iii) vs (i)"
71	NewRoad.Capital	"248,116"	0.1456%	5.39	0.9357%	0.3940%	170.60%
72	omega3	"245,001"	0.1438%	5.39	0.9347%	0.3925%	172.96%
73	2nd only to Certus One in GoS: in3s.com	"239,523"	0.1406%	5.38	0.9330%	0.3898%	177.26%
74	firstblock.io	"236,732"	0.1389%	5.37	0.9322%	0.3883%	179.52%
75	Velocity V1	"209,706"	0.1231%	5.32	0.9230%	0.3746%	204.37%
76	ChainLayer	"209,480"	0.1229%	5.32	0.9229%	0.3745%	204.61%
77	Cobo	"165,585"	0.0972%	5.22	0.9052%	0.3513%	261.45%
78	cephalopod equipment coop	"146,307"	0.0859%	5.17	0.8959%	0.3406%	296.63%
79	gf.network	"130,216"	0.0764%	5.11	0.8871%	0.3313%	333.56%
80	Stir	"126,947"	0.0745%	5.10	0.8852%	0.3294%	342.15%
81	Angel	"108,004"	0.0634%	5.03	0.8730%	0.3180%	401.63%
82	真本聪&IOSG	"104,143"	0.0611%	5.02	0.8703%	0.3156%	416.28%
83	POS Bakerz	"102,777"	0.0603%	5.01	0.8693%	0.3147%	421.71%
84	DappPub	"102,011"	0.0599%	5.01	0.8687%	0.3142%	424.82%
85	MEET.ONE	"87,059"	0.0511%	4.94	0.8568%	0.3044%	495.83%
86	SIGN Capital	"79,713"	0.0468%	4.90	0.8502%	0.2994%	539.96%
87	Cosmonaut Consortium 👩🏼‍🚀👨🏿‍🚀	"75,588"	0.0444%	4.88	0.8462%	0.2965%	568.30%
88	HLT	"61,477"	0.0361%	4.79	0.8306%	0.2859%	692.40%
89	Easy 2 Stake	"58,128"	0.0341%	4.76	0.8264%	0.2832%	730.22%
90	bigone-pool	"57,806"	0.0339%	4.76	0.8260%	0.2830%	734.07%
91	WeStaking	"56,819"	0.0333%	4.75	0.8247%	0.2822%	746.15%
92	COSMODROME-EUROPE	"53,495"	0.0314%	4.73	0.8201%	0.2794%	789.92%
93	🌐 KysenPool.io	"51,430"	0.0302%	4.71	0.8172%	0.2776%	819.80%
94	SpaceTimeContinuum	"46,763"	0.0274%	4.67	0.8100%	0.2735%	896.55%
95	MathWallet麦子钱包	"46,556"	0.0273%	4.67	0.8097%	0.2733%	900.29%
96	Certify Network	"46,086"	0.0270%	4.66	0.8089%	0.2729%	908.91%
97	Dominator	"45,045"	0.0264%	4.65	0.8072%	0.2719%	928.59%
98	Sanka Network	"45,024"	0.0264%	4.65	0.8071%	0.2719%	929.00%
99	Cosmoon	"43,368"	0.0255%	4.64	0.8043%	0.2704%	962.18%
100	Everstake	"42,107"	0.0247%	4.62	0.8021%	0.2691%	989.11%
							
	Total:	"170,389,276"	100.0000%	576.54	100.0000%	100.0000%	
							
	Gini index		0.6800			0.5490	
	Minimum # of validators holding 33.4% of VP		5			8	
	Total VP of the top 20% validators		72.34%			56.91%	
